LLM,Code or command Execution_LLM_REASON_CONSISTENT,Code or command Execution_LLM_REASON_CONSISTENT_WITH_CODE,Code or command Execution_VALID_RESPONSE,Code or command Execution_EXPLICIT_RESPONSE,Code or command Execution_LLM_MALICIOUS_RESULT,Execute Downloaded Payload_LLM_REASON_CONSISTENT,Execute Downloaded Payload_LLM_REASON_CONSISTENT_WITH_CODE,Execute Downloaded Payload_VALID_RESPONSE,Execute Downloaded Payload_EXPLICIT_RESPONSE,Execute Downloaded Payload_LLM_MALICIOUS_RESULT,File Manipulation_LLM_REASON_CONSISTENT,File Manipulation_LLM_REASON_CONSISTENT_WITH_CODE,File Manipulation_VALID_RESPONSE,File Manipulation_EXPLICIT_RESPONSE,File Manipulation_LLM_MALICIOUS_RESULT,Miscellaneous_LLM_REASON_CONSISTENT,Miscellaneous_LLM_REASON_CONSISTENT_WITH_CODE,Miscellaneous_VALID_RESPONSE,Miscellaneous_EXPLICIT_RESPONSE,Miscellaneous_LLM_MALICIOUS_RESULT,Obfuscation and encoding_LLM_REASON_CONSISTENT,Obfuscation and encoding_LLM_REASON_CONSISTENT_WITH_CODE,Obfuscation and encoding_VALID_RESPONSE,Obfuscation and encoding_EXPLICIT_RESPONSE,Obfuscation and encoding_LLM_MALICIOUS_RESULT,Remote Control_LLM_REASON_CONSISTENT,Remote Control_LLM_REASON_CONSISTENT_WITH_CODE,Remote Control_VALID_RESPONSE,Remote Control_EXPLICIT_RESPONSE,Remote Control_LLM_MALICIOUS_RESULT,Sensitive Information Theft_LLM_REASON_CONSISTENT,Sensitive Information Theft_LLM_REASON_CONSISTENT_WITH_CODE,Sensitive Information Theft_VALID_RESPONSE,Sensitive Information Theft_EXPLICIT_RESPONSE,Sensitive Information Theft_LLM_MALICIOUS_RESULT,total_LLM_REASON_CONSISTENT,total_LLM_REASON_CONSISTENT_WITH_CODE,total_VALID_RESPONSE,total_EXPLICIT_RESPONSE,total_LLM_MALICIOUS_RESULT
CodeLlama-13b-Instruct-hf, 92.41, 35.27, 94.64, 92.86, 61.16, 97.62, 76.19, 97.62, 97.62, 59.52, 75.00, 75.00, 100.00, 100.00, 12.50, 88.24, 29.41, 94.12, 88.24, 29.41, 90.34, 33.61, 93.28, 91.18, 57.98, 90.91, 90.91, 100.00, 90.91, 72.73, 93.55, 62.90, 100.00, 100.00, 37.10, 92.19, 45.05, 95.31, 93.75, 55.21
CodeLlama-34b-Instruct-hf, 88.84, 21.43, 100.00, 100.00, 14.29, 95.24, 69.05, 97.62, 97.62, 33.33, 87.50, 87.50, 87.50, 87.50, 37.50, 52.94, 58.82, 70.59, 70.59, 29.41, 86.13, 16.81, 97.90, 97.48, 14.29, 81.82, 81.82, 100.00, 100.00, 54.55, 80.65, 75.81, 100.00, 100.00, 11.29, 84.90, 38.02, 97.14, 96.88, 17.71
CodeLlama-70b-Instruct-hf, 71.43, 48.66, 68.75, 72.32, 73.66, 76.19, 66.67, 73.81, 78.57, 78.57, 62.50, 25.00, 62.50, 62.50, 50.00, 11.76, 23.53, 17.65, 17.65, 23.53, 69.33, 44.96, 65.13, 70.59, 70.59, 72.73, 54.55, 72.73, 81.82, 72.73, 83.87, 75.81, 80.65, 85.48, 79.03, 69.53, 51.82, 66.41, 71.61, 70.57
CodeLlama-7b-Instruct-hf, 94.64, 55.80, 100.00, 100.00, 60.27, 95.24, 85.71, 100.00, 100.00, 45.24, 100.00, 100.00, 100.00, 100.00, 37.50, 58.82, 47.06, 82.35, 82.35, 23.53, 93.28, 52.52, 98.32, 98.32, 58.82, 100.00, 100.00, 100.00, 100.00, 54.55, 96.77, 59.68, 98.39, 98.39, 38.71, 92.71, 58.59, 97.92, 97.92, 51.82
Llama-2-13b-chat-hf, 90.62, 57.59, 96.88, 96.88, 33.04, 100.00, 73.81, 100.00, 100.00, 54.76, 62.50, 75.00, 100.00, 100.00, 0.00, 35.29, 17.65, 41.18, 41.18, 5.88, 87.82, 53.78, 94.12, 94.12, 31.09, 81.82, 90.91, 100.00, 100.00, 45.45, 96.77, 77.42, 100.00, 100.00, 24.19, 88.80, 59.38, 93.75, 93.75, 34.11
Llama-2-70b-chat-hf, 97.32, 68.30, 97.32, 97.32, 97.32, 100.00, 76.19, 100.00, 100.00, 92.86, 100.00, 50.00, 100.00, 100.00, 100.00, 47.06, 5.88, 47.06, 47.06, 47.06, 94.54, 67.65, 94.54, 94.54, 94.54, 100.00, 100.00, 100.00, 100.00, 100.00, 98.39, 85.48, 100.00, 100.00, 85.48, 94.01, 69.01, 94.27, 94.27, 91.15
Llama-2-7b-chat-hf, 91.96, 24.11, 94.64, 94.64, 58.04, 100.00, 28.57, 100.00, 100.00, 45.24, 100.00, 37.50, 100.00, 100.00, 37.50, 47.06, 11.76, 41.18, 47.06, 41.18, 89.50, 21.43, 91.60, 91.60, 55.04, 100.00, 72.73, 100.00, 100.00, 54.55, 100.00, 50.00, 100.00, 100.00, 40.32, 90.89, 28.91, 92.19, 92.45, 51.30
Meta-Llama-3-70B-Instruct, 100.00, 67.86, 100.00, 99.11, 100.00, 100.00, 88.10, 100.00, 100.00, 100.00, 100.00, 75.00, 100.00, 100.00, 100.00, 82.35, 47.06, 82.35, 82.35, 70.59, 97.90, 68.07, 97.90, 97.06, 97.90, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 95.16, 100.00, 100.00, 96.77, 97.92, 74.48, 97.92, 97.40, 96.88
Meta-Llama-3-8B-Instruct, 99.11, 77.68, 99.11, 99.55, 100.00, 100.00, 88.10, 100.00, 100.00, 100.00, 100.00, 75.00, 100.00, 100.00, 100.00, 70.59, 35.29, 70.59, 82.35, 82.35, 97.06, 74.79, 97.06, 97.48, 97.90, 100.00, 90.91, 100.00, 100.00, 100.00, 96.77, 93.55, 98.39, 100.00, 98.39, 96.35, 77.86, 96.61, 97.66, 97.66
deepseek-r1, 100.00, 90.62, 100.00, 100.00, 99.11, 100.00, 92.86, 100.00, 100.00, 100.00, 100.00, 87.50, 100.00, 100.00, 100.00, 94.12, 70.59, 94.12, 94.12, 88.24, 99.58, 91.60, 99.58, 99.58, 98.32, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 95.16, 100.00, 98.39, 100.00, 99.48, 90.89, 99.48, 99.22, 97.92
