LLM,Code or command Execution_LLM_REASON_CONSISTENT,Code or command Execution_LLM_REASON_CONSISTENT_WITH_CODE,Code or command Execution_VALID_RESPONSE,Code or command Execution_EXPLICIT_RESPONSE,Code or command Execution_LLM_MALICIOUS_RESULT,Execute Downloaded Payload_LLM_REASON_CONSISTENT,Execute Downloaded Payload_LLM_REASON_CONSISTENT_WITH_CODE,Execute Downloaded Payload_VALID_RESPONSE,Execute Downloaded Payload_EXPLICIT_RESPONSE,Execute Downloaded Payload_LLM_MALICIOUS_RESULT,File Manipulation_LLM_REASON_CONSISTENT,File Manipulation_LLM_REASON_CONSISTENT_WITH_CODE,File Manipulation_VALID_RESPONSE,File Manipulation_EXPLICIT_RESPONSE,File Manipulation_LLM_MALICIOUS_RESULT,Miscellaneous_LLM_REASON_CONSISTENT,Miscellaneous_LLM_REASON_CONSISTENT_WITH_CODE,Miscellaneous_VALID_RESPONSE,Miscellaneous_EXPLICIT_RESPONSE,Miscellaneous_LLM_MALICIOUS_RESULT,Obfuscation and encoding_LLM_REASON_CONSISTENT,Obfuscation and encoding_LLM_REASON_CONSISTENT_WITH_CODE,Obfuscation and encoding_VALID_RESPONSE,Obfuscation and encoding_EXPLICIT_RESPONSE,Obfuscation and encoding_LLM_MALICIOUS_RESULT,Remote Control_LLM_REASON_CONSISTENT,Remote Control_LLM_REASON_CONSISTENT_WITH_CODE,Remote Control_VALID_RESPONSE,Remote Control_EXPLICIT_RESPONSE,Remote Control_LLM_MALICIOUS_RESULT,Sensitive Information Theft_LLM_REASON_CONSISTENT,Sensitive Information Theft_LLM_REASON_CONSISTENT_WITH_CODE,Sensitive Information Theft_VALID_RESPONSE,Sensitive Information Theft_EXPLICIT_RESPONSE,Sensitive Information Theft_LLM_MALICIOUS_RESULT,total_LLM_REASON_CONSISTENT,total_LLM_REASON_CONSISTENT_WITH_CODE,total_VALID_RESPONSE,total_EXPLICIT_RESPONSE,total_LLM_MALICIOUS_RESULT
CodeLlama-13b-Instruct-hf, 70.09, 48.66, 77.23, 66.07, 69.64, 47.62, 69.05, 54.76, 45.24, 47.62, 62.50, 62.50, 62.50, 62.50, 62.50, 64.71, 35.29, 76.47, 64.71, 52.94, 71.85, 47.48, 78.15, 69.33, 71.43, 90.91, 90.91, 90.91, 81.82, 81.82, 40.32, 66.13, 46.77, 37.10, 35.48, 63.80, 53.12, 70.31, 60.42, 61.46
CodeLlama-34b-Instruct-hf, 61.61, 41.52, 64.29, 57.14, 52.23, 57.14, 88.10, 64.29, 57.14, 50.00, 37.50, 75.00, 37.50, 25.00, 37.50, 64.71, 23.53, 64.71, 58.82, 64.71, 62.18, 37.82, 65.13, 57.56, 50.84, 90.91, 100.00, 81.82, 45.45, 81.82, 16.13, 75.81, 19.35, 11.29, 11.29, 53.91, 51.82, 57.03, 48.44, 44.53
CodeLlama-70b-Instruct-hf, 86.16, 52.68, 84.82, 87.50, 91.07, 83.33, 83.33, 78.57, 85.71, 85.71, 62.50, 62.50, 62.50, 87.50, 75.00, 29.41, 23.53, 29.41, 35.29, 29.41, 83.19, 47.90, 81.93, 84.87, 88.24, 90.91, 90.91, 90.91, 90.91, 90.91, 87.10, 75.81, 83.87, 90.32, 87.10, 80.73, 56.25, 78.91, 83.85, 84.64
CodeLlama-7b-Instruct-hf, 66.07, 34.38, 70.98, 65.62, 62.95, 35.71, 80.95, 45.24, 33.33, 35.71, 37.50, 37.50, 62.50, 50.00, 37.50, 41.18, 29.41, 52.94, 41.18, 41.18, 67.65, 32.35, 71.01, 66.81, 64.71, 63.64, 72.73, 63.64, 36.36, 63.64, 37.10, 54.84, 40.32, 37.10, 32.26, 57.55, 42.71, 62.24, 56.25, 54.43
Llama-2-13b-chat-hf, 95.98, 38.39, 96.43, 96.43, 89.29, 90.48, 57.14, 100.00, 97.62, 76.19, 87.50, 37.50, 100.00, 100.00, 50.00, 29.41, 5.88, 29.41, 29.41, 23.53, 91.18, 36.55, 92.86, 92.86, 84.03, 81.82, 90.91, 100.00, 100.00, 90.91, 100.00, 50.00, 100.00, 100.00, 61.29, 90.10, 40.36, 92.45, 92.19, 77.86
Llama-2-70b-chat-hf, 96.43, 28.57, 95.98, 96.88, 95.54, 100.00, 69.05, 97.62, 97.62, 97.62, 100.00, 37.50, 87.50, 62.50, 50.00, 29.41, 5.88, 29.41, 17.65, 35.29, 93.28, 26.47, 92.86, 92.86, 91.18, 100.00, 90.91, 90.91, 90.91, 90.91, 88.71, 53.23, 87.10, 75.81, 77.42, 91.15, 35.94, 90.10, 87.76, 87.76
Llama-2-7b-chat-hf, 95.54, 35.71, 95.98, 96.43, 94.64, 100.00, 50.00, 100.00, 100.00, 97.62, 100.00, 12.50, 100.00, 100.00, 62.50, 35.29, 17.65, 29.41, 35.29, 29.41, 92.02, 31.93, 92.44, 92.44, 90.34, 90.91, 54.55, 100.00, 100.00, 100.00, 96.77, 30.65, 100.00, 98.39, 82.26, 91.15, 34.38, 92.19, 92.19, 87.76
Meta-Llama-3-70B-Instruct, 100.00, 70.54, 100.00, 100.00, 100.00, 100.00, 90.48, 100.00, 100.00, 100.00, 100.00, 87.50, 100.00, 100.00, 100.00, 76.47, 35.29, 76.47, 76.47, 58.82, 97.90, 70.17, 97.90, 97.90, 97.90, 100.00, 90.91, 100.00, 100.00, 100.00, 98.39, 95.16, 100.00, 98.39, 100.00, 97.40, 74.74, 97.66, 97.40, 96.88
Meta-Llama-3-8B-Instruct, 100.00, 58.93, 100.00, 100.00, 100.00, 100.00, 83.33, 100.00, 100.00, 100.00, 100.00, 75.00, 100.00, 100.00, 100.00, 76.47, 23.53, 76.47, 76.47, 76.47, 97.90, 55.88, 97.90, 97.90, 97.90, 100.00, 100.00, 100.00, 100.00, 100.00, 98.39, 88.71, 100.00, 100.00, 100.00, 97.40, 63.80, 97.66, 97.66, 97.66
deepseek-r1, 100.00, 69.64, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 62.50, 100.00, 100.00, 100.00, 94.12, 64.71, 94.12, 94.12, 82.35, 99.58, 71.43, 99.58, 99.58, 99.58, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 87.10, 100.00, 100.00, 93.55, 99.48, 77.08, 99.48, 99.48, 97.92
