LLM,Obfuscation_Level,Category,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_MALICIOUS_RESULT
Llama-2-13b-chat-hf,catastrophic_level,benign,100.0,46.15,100.0,100.0,0.0
Llama-2-13b-chat-hf,catastrophic_level,malicious,98.48,27.27,98.48,100.0,0.0
Llama-2-13b-chat-hf,layout_level,benign,96.92,86.15,98.46,98.46,3.08
Llama-2-13b-chat-hf,layout_level,malicious,95.45,74.24,100.0,100.0,31.82
Llama-2-13b-chat-hf,structure_level,benign,96.92,80.0,96.92,96.92,6.15
Llama-2-13b-chat-hf,structure_level,malicious,92.42,59.09,96.97,98.48,25.76
Llama-2-13b-chat-hf,word_level,benign,92.31,41.54,92.31,92.31,21.54
Llama-2-13b-chat-hf,word_level,malicious,89.39,25.76,92.42,92.42,51.52
qwen3-14b,catastrophic_level,benign,100.0,100.0,100.0,100.0,100.0
qwen3-14b,catastrophic_level,malicious,100.0,100.0,100.0,100.0,100.0
qwen3-14b,layout_level,benign,100.0,100.0,100.0,100.0,1.54
qwen3-14b,layout_level,malicious,100.0,98.48,100.0,100.0,90.91
qwen3-14b,structure_level,benign,98.46,100.0,98.46,98.46,1.54
qwen3-14b,structure_level,malicious,100.0,96.97,100.0,100.0,86.36
qwen3-14b,word_level,benign,100.0,96.92,100.0,100.0,3.08
qwen3-14b,word_level,malicious,100.0,92.42,100.0,100.0,98.48
CodeLlama-34b-Instruct-hf,catastrophic_level,benign,93.75,40.0,98.46,100.0,40.0
CodeLlama-34b-Instruct-hf,catastrophic_level,malicious,92.42,33.33,98.48,100.0,45.45
CodeLlama-34b-Instruct-hf,layout_level,benign,96.92,90.77,96.92,98.46,1.54
CodeLlama-34b-Instruct-hf,layout_level,malicious,90.91,80.3,100.0,100.0,13.64
CodeLlama-34b-Instruct-hf,structure_level,benign,93.85,89.23,96.92,98.46,0.0
CodeLlama-34b-Instruct-hf,structure_level,malicious,77.27,71.21,100.0,98.48,10.61
CodeLlama-34b-Instruct-hf,word_level,benign,95.38,63.08,95.38,95.38,3.08
CodeLlama-34b-Instruct-hf,word_level,malicious,86.36,42.42,98.48,98.48,30.3
qwen2-72b-instruct,catastrophic_level,benign,100.0,100.0,100.0,100.0,100.0
qwen2-72b-instruct,catastrophic_level,malicious,100.0,100.0,100.0,100.0,100.0
qwen2-72b-instruct,layout_level,benign,98.46,98.46,98.46,98.46,1.54
qwen2-72b-instruct,layout_level,malicious,100.0,96.97,100.0,100.0,92.42
qwen2-72b-instruct,structure_level,benign,98.46,98.46,98.46,98.46,1.54
qwen2-72b-instruct,structure_level,malicious,100.0,98.48,100.0,100.0,84.85
qwen2-72b-instruct,word_level,benign,100.0,78.46,100.0,100.0,20.0
qwen2-72b-instruct,word_level,malicious,100.0,71.21,100.0,100.0,95.45
Meta-Llama-3-70B-Instruct,catastrophic_level,benign,98.46,100.0,100.0,100.0,100.0
Meta-Llama-3-70B-Instruct,catastrophic_level,malicious,100.0,98.48,100.0,100.0,100.0
Meta-Llama-3-70B-Instruct,layout_level,benign,98.46,98.46,98.46,96.92,4.62
Meta-Llama-3-70B-Instruct,layout_level,malicious,100.0,93.94,100.0,100.0,100.0
Meta-Llama-3-70B-Instruct,structure_level,benign,98.46,96.92,98.46,96.92,3.08
Meta-Llama-3-70B-Instruct,structure_level,malicious,100.0,93.94,100.0,100.0,98.48
Meta-Llama-3-70B-Instruct,word_level,benign,93.85,92.31,98.46,96.92,44.62
Meta-Llama-3-70B-Instruct,word_level,malicious,98.48,90.91,98.48,98.48,98.48
qwen3-32b,catastrophic_level,benign,100.0,100.0,100.0,100.0,100.0
qwen3-32b,catastrophic_level,malicious,100.0,100.0,100.0,100.0,100.0
qwen3-32b,layout_level,benign,100.0,96.92,98.46,100.0,6.15
qwen3-32b,layout_level,malicious,100.0,96.97,100.0,100.0,98.48
qwen3-32b,structure_level,benign,100.0,100.0,100.0,100.0,4.62
qwen3-32b,structure_level,malicious,100.0,96.97,100.0,100.0,98.48
qwen3-32b,word_level,benign,100.0,98.46,100.0,100.0,18.46
qwen3-32b,word_level,malicious,100.0,95.45,100.0,100.0,100.0
Meta-Llama-3-8B-Instruct,catastrophic_level,benign,100.0,100.0,100.0,100.0,100.0
Meta-Llama-3-8B-Instruct,catastrophic_level,malicious,100.0,100.0,100.0,100.0,100.0
Meta-Llama-3-8B-Instruct,layout_level,benign,98.46,96.92,98.46,98.46,9.23
Meta-Llama-3-8B-Instruct,layout_level,malicious,98.48,89.39,98.48,100.0,92.42
Meta-Llama-3-8B-Instruct,structure_level,benign,98.46,95.38,98.46,98.46,3.08
Meta-Llama-3-8B-Instruct,structure_level,malicious,98.48,90.91,98.48,100.0,90.91
Meta-Llama-3-8B-Instruct,word_level,benign,95.38,47.69,98.46,96.92,87.69
Meta-Llama-3-8B-Instruct,word_level,malicious,96.97,65.15,96.97,98.48,98.48
Llama-2-7b-chat-hf,catastrophic_level,benign,100.0,37.5,100.0,100.0,69.23
Llama-2-7b-chat-hf,catastrophic_level,malicious,96.97,36.36,96.97,98.48,59.09
Llama-2-7b-chat-hf,layout_level,benign,95.38,30.77,98.46,98.46,70.77
Llama-2-7b-chat-hf,layout_level,malicious,100.0,59.09,100.0,100.0,66.67
Llama-2-7b-chat-hf,structure_level,benign,100.0,40.0,100.0,100.0,75.38
Llama-2-7b-chat-hf,structure_level,malicious,100.0,43.94,100.0,100.0,68.18
Llama-2-7b-chat-hf,word_level,benign,90.62,21.88,89.06,90.62,62.5
Llama-2-7b-chat-hf,word_level,malicious,95.45,18.18,95.45,95.45,90.91
CodeLlama-70b-Instruct-hf,catastrophic_level,benign,25.0,47.69,21.54,26.15,26.15
CodeLlama-70b-Instruct-hf,catastrophic_level,malicious,21.54,63.64,19.7,19.7,22.73
CodeLlama-70b-Instruct-hf,layout_level,benign,64.62,56.92,64.62,80.0,24.62
CodeLlama-70b-Instruct-hf,layout_level,malicious,75.38,86.36,65.15,69.7,77.27
CodeLlama-70b-Instruct-hf,structure_level,benign,66.15,49.23,61.54,72.31,30.77
CodeLlama-70b-Instruct-hf,structure_level,malicious,58.46,70.77,53.85,58.46,63.08
CodeLlama-70b-Instruct-hf,word_level,benign,50.77,29.23,47.69,60.0,38.46
CodeLlama-70b-Instruct-hf,word_level,malicious,44.26,42.62,42.62,44.26,47.54
qwen3-8b,catastrophic_level,benign,100.0,98.46,100.0,100.0,100.0
qwen3-8b,catastrophic_level,malicious,100.0,98.46,100.0,100.0,100.0
qwen3-8b,layout_level,benign,98.46,100.0,98.46,100.0,1.54
qwen3-8b,layout_level,malicious,100.0,95.45,100.0,100.0,81.82
qwen3-8b,structure_level,benign,98.46,98.46,98.46,98.46,1.54
qwen3-8b,structure_level,malicious,100.0,93.94,100.0,100.0,87.88
