LLM,Category,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,LLM_MALICIOUS_RESULT
Llama-2-13b-chat-hf,benign,96.92,96.92,96.54,63.46,7.69
Llama-2-13b-chat-hf,malicious,96.97,97.73,93.94,46.59,27.27
qwen3-14b,benign,99.62,99.62,99.62,99.23,26.54
qwen3-14b,malicious,100.0,100.0,100.0,96.97,93.94
CodeLlama-34b-Instruct-hf,benign,96.92,98.08,94.62,70.77,11.15
CodeLlama-34b-Instruct-hf,malicious,99.24,99.24,86.74,56.82,25.0
qwen2-72b-instruct,benign,99.23,99.23,99.23,93.85,30.77
qwen2-72b-instruct,malicious,100.0,100.0,100.0,91.67,93.18
Meta-Llama-3-70B-Instruct,benign,98.85,97.69,97.31,96.92,38.08
Meta-Llama-3-70B-Instruct,malicious,99.62,99.62,99.62,94.32,99.24
qwen3-32b,benign,99.62,100.0,100.0,98.85,32.31
qwen3-32b,malicious,100.0,100.0,100.0,97.35,99.24
Meta-Llama-3-8B-Instruct,benign,98.85,98.46,98.08,85.0,50.0
Meta-Llama-3-8B-Instruct,malicious,98.48,99.62,98.48,86.36,95.45
Llama-2-7b-chat-hf,benign,96.91,97.3,96.14,32.43,69.5
Llama-2-7b-chat-hf,malicious,98.11,98.48,98.11,39.39,71.21
CodeLlama-70b-Instruct-hf,benign,48.85,59.62,51.54,45.77,30.0
CodeLlama-70b-Instruct-hf,malicious,44.32,46.97,48.48,64.77,51.52
qwen3-8b,benign,99.23,99.62,99.23,98.85,28.08
qwen3-8b,malicious,100.0,100.0,100.0,93.54,91.25
Llama-2-70b-chat-hf,benign,97.69,97.69,97.31,60.0,58.08
Llama-2-70b-chat-hf,malicious,98.86,98.86,98.48,55.51,97.72
deepseek-v3,benign,99.23,98.85,99.23,99.62,26.92
deepseek-v3,malicious,98.86,98.48,99.62,97.73,97.35
CodeLlama-7b-Instruct-hf,benign,99.23,100.0,97.69,65.77,22.31
CodeLlama-7b-Instruct-hf,malicious,99.62,99.62,90.15,60.98,40.53
CodeLlama-13b-Instruct-hf,benign,95.77,95.38,95.0,71.92,25.0
CodeLlama-13b-Instruct-hf,malicious,97.35,96.97,93.56,65.91,45.45
deepseek-r1,benign,99.23,99.62,99.23,99.62,39.23
deepseek-r1,malicious,100.0,99.62,100.0,97.35,98.86
qwen2-7b-instruct,benign,98.46,98.46,98.08,86.15,41.54
qwen2-7b-instruct,malicious,100.0,100.0,98.86,85.61,87.12
