Model,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_MALICIOUS_RESULT
CodeLlama-13b-Instruct-hf,97.33,84.67,98.00,98.33,7.33
CodeLlama-34b-Instruct-hf,97.33,88.00,99.00,98.67,1.00
CodeLlama-70b-Instruct-hf,55.00,44.33,52.00,64.67,35.67
CodeLlama-7b-Instruct-hf,97.33,84.33,99.00,99.00,5.33
Llama-2-13b-chat-hf,99.00,89.67,99.33,99.33,1.33
Llama-2-70b-chat-hf,99.33,81.67,99.33,99.33,19.67
Llama-2-7b-chat-hf,95.67,26.00,99.00,99.00,80.67
Meta-Llama-3-70B-Instruct,99.33,99.33,99.67,99.67,1.67
Meta-Llama-3-8B-Instruct,99.33,98.00,99.67,99.67,4.67
deepseek-r1,100.00,99.00,100.00,100.00,6.00
deepseek-v3,99.00,100.00,99.33,99.33,1.33
qwen2-72b-instruct,100.00,99.67,100.00,100.00,0.67
qwen2-7b-instruct,99.00,97.00,99.67,99.67,2.00
qwen3-14b,99.67,99.67,100.00,100.00,1.00
qwen3-32b,99.67,99.67,99.67,99.67,2.67
qwen3-8b,100.00,100.00,100.00,100.00,0.67
