Model,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_MALICIOUS_RESULT
CodeLlama-13b-Instruct-hf,93.14,20.00,95.71,95.43,18.00
CodeLlama-34b-Instruct-hf,88.86,28.29,96.00,95.71,5.43
CodeLlama-70b-Instruct-hf,38.57,29.71,30.86,31.43,35.43
CodeLlama-7b-Instruct-hf,92.00,18.29,96.29,96.29,8.86
Llama-2-13b-chat-hf,96.86,24.00,98.00,98.00,1.43
Llama-2-70b-chat-hf,99.14,52.29,100.00,99.71,98.86
Llama-2-7b-chat-hf,96.86,24.57,98.00,97.71,52.29
Meta-Llama-3-70B-Instruct,99.71,86.00,100.00,100.00,84.29
Meta-Llama-3-8B-Instruct,96.00,63.43,98.29,99.71,55.71
deepseek-r1,94.00,93.14,98.57,99.14,57.14
deepseek-v3,100.00,99.43,100.00,100.00,97.14
qwen2-72b-instruct,98.57,90.00,100.00,100.00,65.71
qwen2-7b-instruct,97.14,72.29,100.00,100.00,62.86
qwen3-14b,99.14,96.86,99.43,99.43,94.57
qwen3-32b,99.14,98.00,99.14,99.14,99.14
qwen3-8b,100.00,92.29,100.00,100.00,84.29
